"filename", "language", "Java", "XML", "CSS", "comment", "blank", "total"
"c:\Projects\software-development\stockmaster\pom.xml", "XML", 0, 55, 0, 2, 1, 58
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\AddItemController.java", "Java", 47, 0, 0, 2, 8, 57
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\App.java", "Java", 48, 0, 0, 3, 12, 63
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\Customer.java", "Java", 53, 0, 0, 0, 15, 68
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\CustomersController.java", "Java", 70, 0, 0, 7, 14, 91
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\DBConnection.java", "Java", 54, 0, 0, 6, 12, 72
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\DBList.java", "Java", 195, 0, 0, 7, 25, 227
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\DBQueue.java", "Java", 209, 0, 0, 10, 24, 243
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\DBStack.java", "Java", 189, 0, 0, 10, 26, 225
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\InventoryController.java", "Java", 276, 0, 0, 18, 27, 321
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\Item.java", "Java", 119, 0, 0, 2, 30, 151
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\LayoutController.java", "Java", 74, 0, 0, 7, 21, 102
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\Vendor.java", "Java", 37, 0, 0, 0, 12, 49
"c:\Projects\software-development\stockmaster\src\main\java\com\stockmaster\VendorsController.java", "Java", 61, 0, 0, 7, 13, 81
"c:\Projects\software-development\stockmaster\src\main\java\module-info.java", "Java", 7, 0, 0, 0, 2, 9
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\addCustomer.fxml", "XML", 0, 86, 0, 0, 6, 92
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\addItem.fxml", "XML", 0, 135, 0, 1, 11, 147
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\addPurchase.fxml", "XML", 0, 100, 0, 0, 6, 106
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\addVendor.fxml", "XML", 0, 71, 0, 0, 5, 76
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\customers.fxml", "XML", 0, 31, 0, 0, 4, 35
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\dashboard.fxml", "XML", 0, 259, 0, 0, 3, 262
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\inventory.fxml", "XML", 0, 91, 0, 0, 3, 94
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\layout.fxml", "XML", 0, 37, 0, 0, 4, 41
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\sales.fxml", "XML", 0, 24, 0, 31, 6, 61
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\styles.css", "CSS", 0, 0, 248, 10, 46, 304
"c:\Projects\software-development\stockmaster\src\main\resources\com\stockmaster\vendors.fxml", "XML", 0, 30, 0, 0, 4, 34
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\AddItemController.class", "Java", 43, 0, 0, 0, 4, 47
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\App.class", "Java", 44, 0, 0, 0, 0, 44
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\Customer$CustomerType.class", "Java", 16, 0, 0, 0, 0, 16
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\Customer.class", "Java", 20, 0, 0, 0, 0, 20
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\CustomersController.class", "Java", 55, 0, 0, 0, 0, 55
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\DBConnection.class", "Java", 21, 0, 0, 0, 0, 21
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\DBList.class", "Java", 91, 0, 0, 0, 0, 91
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\DBQueue.class", "Java", 71, 0, 0, 0, 0, 71
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\DBStack.class", "Java", 66, 0, 0, 0, 0, 66
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\InventoryController.class", "Java", 121, 0, 0, 0, 7, 128
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\Item.class", "Java", 50, 0, 0, 0, 0, 50
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\LayoutController.class", "Java", 39, 0, 0, 0, 0, 39
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\Vendor.class", "Java", 14, 0, 0, 0, 0, 14
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\VendorsController.class", "Java", 47, 0, 0, 0, 0, 47
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\addCustomer.fxml", "XML", 0, 86, 0, 0, 6, 92
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\addItem.fxml", "XML", 0, 135, 0, 1, 11, 147
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\addPurchase.fxml", "XML", 0, 100, 0, 0, 6, 106
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\addVendor.fxml", "XML", 0, 71, 0, 0, 5, 76
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\customers.fxml", "XML", 0, 31, 0, 0, 4, 35
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\dashboard.fxml", "XML", 0, 259, 0, 0, 3, 262
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\inventory.fxml", "XML", 0, 91, 0, 0, 3, 94
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\layout.fxml", "XML", 0, 37, 0, 0, 4, 41
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\sales.fxml", "XML", 0, 24, 0, 31, 6, 61
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\styles.css", "CSS", 0, 0, 248, 10, 46, 304
"c:\Projects\software-development\stockmaster\target\classes\com\stockmaster\vendors.fxml", "XML", 0, 30, 0, 0, 4, 34
"c:\Projects\software-development\stockmaster\target\classes\module-info.class", "Java", 5, 0, 0, 0, 0, 5
"Total", "-", 2142, 1783, 496, 165, 449, 5035
